computerisation bottleneck,O∗NET Variable,O∗NET Description
Perception and Manipulation,Finger Dexterity,"The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects."
Perception and Manipulation,Manual Dexterity,"The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects."
Perception and Manipulation,"Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?
Creative Intelligence,Originality,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem"
Creative Intelligence,Fine Arts,"Knowledge of theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture."
Social Intelligence,Social Perceptiveness,Being aware of others’ reactions and understanding why they react as they do
Social Intelligence,Negotiation,Bringing others together and trying to reconcile differences.
Social Intelligence,Persuasion,Persuading others to change their minds or behavior
Social Intelligence,Assisting and Caring for Others,"Providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients."
